See appointments history, 2021-05-28 04:45:42.499
Sign in, 2021-05-28 04:46:21.994
See appointments history, 2021-05-28 04:46:23.428
Sign in, 2021-05-28 04:47:05.924
See appointments history, 2021-05-28 04:47:07.578
Request appointment, 2021-05-28 04:47:40.693
Sign out, 2021-05-28 04:47:46.739
Sign in, 2021-05-28 04:47:57.071
Process appointment, 2021-05-28 04:48:04.197
Sign in, 2021-05-28 04:51:03.234
Process appointment, 2021-05-28 04:51:05.008
Request appointment, 2021-05-28 04:51:20.277
Sign out, 2021-05-28 04:51:33.376
Sign in, 2021-05-28 04:51:42.471
Process appointment, 2021-05-28 04:51:45.432
Sign in, 2021-05-28 04:54:36.073
Request appointment, 2021-05-28 04:54:48.058
Sign out, 2021-05-28 04:55:27.681
Sign in, 2021-05-28 04:55:35.317
Process appointment, 2021-05-28 04:55:36.916
Sign in, 2021-05-28 09:57:31.016
Process appointment, 2021-05-28 09:57:32.276
Sign in, 2021-05-28 09:58:24.632
Process appointment, 2021-05-28 09:58:36.942
Process appointment, 2021-05-28 09:58:59.578
Sign out, 2021-05-28 09:59:08.429
Sign in, 2021-05-28 09:59:20.237
See upcoming appointments, 2021-05-28 10:01:12.471
Sign in, 2021-05-28 10:12:16.803
Sign in, 2021-05-28 10:12:48.443
See upcoming appointments, 2021-05-28 10:12:50.314
Sign in, 2021-05-28 10:13:12.695
See upcoming appointments, 2021-05-28 10:13:15.064
Sign in, 2021-05-28 10:14:10.335
See upcoming appointments, 2021-05-28 10:14:12.046
Sign in, 2021-05-28 10:16:34.892
See upcoming appointments, 2021-05-28 10:16:36.628
Sign in, 2021-05-28 10:17:42.616
See upcoming appointments, 2021-05-28 10:17:43.817
Doctor - give response, 2021-05-28 10:18:21.304
Sign in, 2021-05-28 10:22:36.985
See upcoming appointments, 2021-05-28 10:22:38.665
Sign in, 2021-05-28 10:23:11.341
See upcoming appointments, 2021-05-28 10:23:12.697
Doctor - give response, 2021-05-28 10:23:26.686
See upcoming appointments, 2021-05-28 10:23:58.821
Sign in, 2021-05-28 10:29:15.108
See upcoming appointments, 2021-05-28 10:29:16.484
Doctor - give response, 2021-05-28 10:29:38.543
Sign in, 2021-05-28 10:31:53.874
See upcoming appointments, 2021-05-28 10:31:55.796
Sign in, 2021-05-28 10:36:39.283
See upcoming appointments, 2021-05-28 10:36:40.808
Sign in, 2021-05-28 10:38:15.857
Doctor - give response, 2021-05-28 10:38:44.435
See upcoming appointments, 2021-05-28 10:38:47.781
Sign out, 2021-05-28 10:42:40.573
Sign in, 2021-05-28 10:42:51.042
See upcoming appointments, 2021-05-28 10:42:52.92
See appointments history, 2021-05-28 10:42:53.953
Sign in, 2021-05-28 10:45:05.932
See appointments history, 2021-05-28 10:45:06.915
Sign in, 2021-05-28 10:46:28.904
See appointments history, 2021-05-28 10:46:29.603
Sign in, 2021-05-28 10:47:26.403
See upcoming appointments, 2021-05-28 10:47:36.024
See appointments history, 2021-05-28 10:47:39.709
Request appointment, 2021-05-28 10:48:18.454
Sign out, 2021-05-28 10:48:24.424
Sign in, 2021-05-28 10:48:33.683
Process appointment, 2021-05-28 10:48:47.751
Process appointment, 2021-05-28 10:49:09.138
Sign out, 2021-05-28 10:49:14.883
Sign in, 2021-05-28 10:49:22.993
See upcoming appointments, 2021-05-28 10:49:30.033
Sign out, 2021-05-28 10:49:38.063
Sign in, 2021-05-28 10:49:50.428
See upcoming appointments, 2021-05-28 10:50:05.599
Doctor - give response, 2021-05-28 10:50:33.492
See upcoming appointments, 2021-05-28 10:50:39.273
Sign out, 2021-05-28 10:50:40.098
Sign in, 2021-05-28 10:50:47.408
See upcoming appointments, 2021-05-28 10:50:53.503
See appointments history, 2021-05-28 10:50:54.825
Sign in, 2021-05-28 10:57:50.654
Request appointment, 2021-05-28 10:58:03.396
Sign out, 2021-05-28 10:58:06.356
Sign in, 2021-05-28 10:59:27.102
List commands, 2021-05-28 10:59:28.972
Process appointment, 2021-05-28 10:59:42.492
Process appointment, 2021-05-28 10:59:49.685
Sign out, 2021-05-28 10:59:52.104
Sign in, 2021-05-28 11:00:17.679
List commands, 2021-05-28 11:00:19.659
Doctor - give response, 2021-05-28 11:00:40.877
Doctor - give response, 2021-05-28 11:00:46.216
Sign out, 2021-05-28 11:00:48.096
Sign in, 2021-05-28 11:01:02.086
List commands, 2021-05-28 11:01:05.072
See appointments history, 2021-05-28 11:01:10.33
Sign in, 2021-05-28 11:11:45.445, main
Search drug, 2021-05-28 11:12:05.173, main
Sign out, 2021-05-28 11:12:08.641, main
Sign in, 2021-05-28 11:12:40.232, main
Search drug, 2021-05-28 11:12:45.973, main
Sign in, 2021-05-28 11:43:58.756, main
Request appointment, 2021-05-28 11:44:09.793, main
Sign out, 2021-05-28 11:44:13.655, main
Sign in, 2021-05-28 11:44:25.495, main
List commands, 2021-05-28 11:44:27.385, main
Process appointment, 2021-05-28 11:44:39.023, main
Process appointment, 2021-05-28 11:44:42.721, main
Sign out, 2021-05-28 11:44:44.731, main
Sign in, 2021-05-28 11:44:54.274, main
Doctor - give response, 2021-05-28 11:45:09.285, main
Doctor - give response, 2021-05-28 11:45:12.241, main
List commands, 2021-05-28 11:45:16.247, main
Sign out, 2021-05-28 11:45:22.582, main
